34|Ap #552-1796 Gravida Road|Gore|South Island|12195-662|Samoa|40.04881, 37.69634
35|6570 Sem, Road|Izmir|İzmir|350805|Korea, South|54.32999, -83.96236
36|8199 Nascetur St.|Salice Salentino|Puglia|91587|Benin|-2.83737, 16.04881
37|867-3354 In Road|Rekem|Limburg|27343-295|Slovenia|38.5286, -29.19385
38|Ap #946-8336 A, Road|Rezé|Pays de la Loire|10516|Romania|46.35383, 65.27876
39|1014 Ante Ave|Galway|C|6987|Panama|47.23222, -51.49464
40|P.O. Box 234, 349 Ut Road|Galway|Connacht|07650|Tunisia|68.17678, 162.18483
41|9157 Risus. St.|Sluis|Zl|9078|Czech Republic|-7.10183, 120.9529
42|P.O. Box 872, 9522 Enim. St.|Itapipoca|CE|63739-209|Norfolk Island|-20.43483, -163.06084
43|P.O. Box 253, 5848 Sapien. Avenue|Ashburton|South Island|46550|Bahrain|-54.90876, 54.09112
44|443-7240 Habitant St.|Gondiya|MH|16555|Puerto Rico|-78.08269, -109.3402
45|Ap #967-4269 Nunc. St.|Saint-Médard-en-Jalles|AQ|129060|Zimbabwe|-59.42474, -131.82441
46|Ap #315-3848 Tincidunt. St.|Galway|Connacht|35426|Gambia|48.0717, -145.07821
47|5868 Hendrerit Av.|Viranşehir|Şanlıurfa|3896|Australia|16.3989, 4.76157
48|6688 Ullamcorper St.|Sankt Johann im Pongau|Salzburg|2100|French Polynesia|7.80862, -156.32628
49|775-9189 Nibh Street|Purmerend|N.|14879|Bosnia and Herzegovina|12.24086, -78.08259
50|131-2945 Neque. Av.|Adelaide|SA|91895|Togo|58.91036, -97.69639
51|642-2993 Magna. Road|Berlin|BE|03692|Uzbekistan|72.17844, 170.7372
52|P.O. Box 938, 2154 Proin Rd.|Oromocto|NB|2872|Paraguay|-43.22807, 26.25337
53|P.O. Box 457, 2511 Et, Rd.|Dole|Franche-Comté|8694|Saint Vincent and The Grenadines|23.71973, -137.27776
54|1776 Donec Avenue|Hamilton|North Island|9135|South Georgia and The South Sandwich Islands|10.13157, 154.7777
55|783-9951 Blandit Ave|Brest|Bretagne|13082|Reunion|-77.38261, -176.20732
56|2000 In St.|Guadalajara|Castilla - La Mancha|77951|Swaziland|-8.1135, 170.18972
57|485-1239 A, Rd.|Cork|M|75617|United States Minor Outlying Islands|-12.24277, -36.49237
58|P.O. Box 207, 6456 Duis Street|Gboko|BE|4937|Uganda|76.22367, 37.61494
59|Ap #744-5593 Aliquam St.|Córdoba|AN|8797|Holy See (Vatican City State)|-47.28716, 158.17945
60|Ap #826-712 Lorem Rd.|Woodstock|Ontario|52040|Indonesia|-3.98909, 152.99295
61|710-3844 Curabitur Rd.|Fatehpur|Uttar Pradesh|IO3 9GI|Niue|81.68752, 130.07805
62|Ap #364-223 Eget Street|Vienna|Vienna|7277|Zambia|15.64922, 131.7648
63|Ap #873-4380 Consequat Ave|Kapiti|North Island|97893|Switzerland|-3.43407, -45.4537
64|P.O. Box 591, 7930 Turpis. Avenue|Pietraroja|CAM|48318|Togo|50.53341, -99.5519
65|698-7543 Ut St.|Machilipatnam|Andhra Pradesh|58-920|Syria|-79.2305, 35.12298
66|P.O. Box 732, 4079 Pharetra Road|Jundiaí|SP|4082|Tuvalu|-86.50768, -52.20297
67|919-263 Nam Avenue|Whyalla|South Australia|1279NP|Ghana|-14.10695, 165.94892
68|Ap #475-3576 Turpis Av.|Belfast|U|C6Y 4E5|India|62.46134, 150.57055
69|Ap #731-971 In, St.|Galway|Connacht|GO49 9ZO|Korea, North|61.63376, -83.29816
70|Ap #883-5526 Arcu. Street|Istanbul|Ist|70714|Brunei|-45.37851, 144.45796
71|Ap #274-6513 Pellentesque Avenue|Buxton|Derbyshire|8483|Nigeria|-60.31358, 70.79246
72|509-9664 Integer Road|Kano|Kano|21913|American Samoa|68.10677, -71.07763
73|595-7939 Quam Rd.|Zwolle|Overijssel|9309JH|Brunei|15.25851, -33.3337
74|P.O. Box 284, 3568 Conubia Street|Hohenems|Vorarlberg|9701|Costa Rica|-17.26986, 171.96414
75|147-8502 Nunc Av.|Uberlândia|Minas Gerais|A9G 8K9|Malaysia|51.82815, -145.89288
76|389-8902 Porttitor Av.|Belfast|Ulster|5850|Nigeria|50.13637, -170.16411
77|997 At, Av.|Créteil|Île-de-France|4480|Zimbabwe|64.52109, 13.68773
78|P.O. Box 962, 5723 Erat St.|Częstochowa|SL|ZE65 2UM|Turkey|16.92636, 79.95339
79|Ap #167-1851 Dis St.|Bhiwandi|Maharastra|8932|Kyrgyzstan|18.97033, 123.17052
80|P.O. Box 673, 2517 Ut St.|Palakkad|Kerala|2683|French Polynesia|83.09107, -10.32786
81|Ap #880-1465 Libero Rd.|Fuenlabrada|Madrid|32230|Ecuador|84.80031, 157.35098
82|Ap #553-5330 Ridiculus Street|Szczecin|ZP|3106|Finland|-56.75689, -10.71344
83|P.O. Box 182, 835 Ut Av.|Vienna|Wie|56897|Western Sahara|41.70575, -99.60209
84|Ap #346-4402 In Rd.|Olathe|KS|960966|Isle of Man|56.81594, -49.74633
85|5985 Morbi Road|Donosti|Euskadi|75760|Norway|16.39438, -1.89851
86|9950 Et Av.|Belfast|U|14810|Andorra|65.55294, -141.57319
87|4886 Neque Street|Lithgow|New South Wales|59696-365|Slovakia|82.24529, -10.37132
88|123-7343 Quam Street|Saint-Brieuc|BR|189688|Kazakhstan|-0.38659, 132.32751
89|Ap #822-1594 Eu St.|Dublin|L|40-734|Niger|0.07141, -26.5668
90|770-5061 Egestas Road|Opole|OP|0523|Germany|-2.12555, -120.13365
91|813-4892 Nulla Rd.|South Burlington|Vermont|66666-926|French Southern Territories|-10.12396, -57.23909
92|7799 In St.|Dehri|Bihar|9920GN|Korea, North|-63.82973, 51.17009
93|P.O. Box 669, 7571 Amet Av.|Rekem|Limburg|3337|Haiti|-49.51882, -140.10587
94|2596 Dolor Street|Berlin|BE|10-510|Saint Martin|6.19916, -35.20687
95|6755 Et, Rd.|San José|San José|3788|Mayotte|-78.82093, -141.60417
96|154-5364 Vivamus Rd.|Evansville|Indiana|508594|Papua New Guinea|-2.68836, -161.38616
97|1412 Varius St.|Boulogne-Billancourt|Île-de-France|N9P 2Y8|Egypt|23.21872, 3.55608
98|P.O. Box 154, 448 Elementum, Street|Maringá|PR|2444|Greece|24.28331, 0.35846
99|Ap #482-7823 Nunc Street|Berlin|Berlin|21910|Åland Islands|71.31122, -75.02062
100|417-1379 Blandit Rd.|Blieskastel|SH|8111GC|Fiji|-0.15111, -30.72019
